# overall
total_targets	matched	unmatched	total_target_len	total_decoy_len	total_target_K	total_target_R	total_decoy_K	total_decoy_R
2353	2352	1	795788	791195	57114	33673	56123	34712

# per_target
target_name	decoy_name	target_len	decoy_len	len_diff	target_K	target_R	target_KR	decoy_K	decoy_R	decoy_KR	kr_diff	score
sp|P70945|YITS_BACSU	sp|P40478|VDAC2_YEAST	283	281	2	21	10	31	16	15	31	0	2
sp|P54602|YHCR_BACSU	sp|P39538|UBP12_YEAST	1217	1254	37	85	34	119	77	44	121	2	57
sp|O32204|ARCD_BACSU	sp|Q07376|MCH1_YEAST	469	486	17	21	10	31	18	13	31	0	17
sp|O31457|TRHO_BACSU	sp|P33303|SFC1_YEAST	322	322	0	24	18	42	28	14	42	0	0
sp|C0H447|YPZJ_BACSU	sp|Q8TGU7|YB126_YEAST	68	68	0	6	1	7	6	1	7	0	0
sp|O31928|YOPJ_BACSU	sp|P53864|YNW6_YEAST	138	136	2	8	7	15	10	5	15	0	2
sp|O31974|YOMK_BACSU	sp|P40565|IST3_YEAST	148	148	0	16	4	20	13	7	20	0	0
sp|P39587|YWBD_BACSU	sp|Q12099|FAL1_YEAST	396	399	3	42	16	58	39	19	58	0	3
sp|P54455|NADD_BACSU	sp|Q08553|SYC1_YEAST	189	188	1	15	6	21	15	6	21	0	1
sp|O34680|YDIP_BACSU	sp|P25656|CDC50_YEAST	389	391	2	25	22	47	33	14	47	0	2
sp|O34674|MURJ_BACSU	sp|P00724|INV2_YEAST	544	532	12	25	14	39	26	13	39	0	12
sp|P54604|YHCT_BACSU	sp|P32572|SPS18_YEAST	302	300	2	22	17	39	18	21	39	0	2
sp|P39847|PPSC_BACSU	sp|P35169|TOR1_YEAST	2555	2470	85	119	141	260	164	112	276	16	245
sp|P25994|CARB_BACSU	sp|P30822|XPO1_YEAST	1071	1084	13	63	47	110	72	38	110	0	13
sp|O31844|CZRA_BACSU	sp|Q12070|YOR24_YEAST	107	107	0	4	7	11	5	6	11	0	0
sp|P94417|AK3_BACSU	sp|P22215|SLY41_YEAST	454	453	1	22	22	44	28	16	44	0	1
sp|P14204|CMPA_BACSU	sp|P38212|RCR1_YEAST	214	213	1	17	4	21	5	16	21	0	1
sp|O05251|MALR_BACSU	sp|P39931|SS120_YEAST	235	234	1	19	9	28	19	9	28	0	1
sp|P45868|MAO2_BACSU	sp|P38818|CTM1_YEAST	582	585	3	37	24	61	33	28	61	0	3
sp|O31635|YJCM_BACSU	sp|P24813|AP2_YEAST	409	409	0	47	10	57	35	22	57	0	0
sp|P94388|CAH_BACSU	sp|P38620|KPR2_YEAST	318	318	0	21	11	32	17	15	32	0	0
sp|O32099|BZRD_BACSU	sp|P53237|LST7_YEAST	243	242	1	17	11	28	15	13	28	0	1
sp|P08066|SDHB_BACSU	sp|P10355|PT122_YEAST	253	254	1	15	18	33	8	25	33	0	1
sp|O34591|ACOB_BACSU	sp|Q08054|CSI2_YEAST	342	341	1	16	14	30	21	9	30	0	1
sp|P07819|SCRB_BACSU	sp|Q06134|SPO77_YEAST	479	477	2	23	25	48	35	13	48	0	2
sp|P39762|AMPS_BACSU	sp|P11745|RNA1_YEAST	410	407	3	29	12	41	31	10	41	0	3
sp|P37958|MECA1_BACSU	sp|P18414|ERD2_YEAST	218	219	1	15	8	23	15	8	23	0	1
sp|O07543|YHEB_BACSU	sp|P53397|OGG1_YEAST	377	376	1	30	22	52	35	17	52	0	1
sp|P42958|TTUC_BACSU	sp|P38113|ADH5_YEAST	354	351	3	16	15	31	22	9	31	0	3
sp|P40405|SWRB_BACSU	sp|Q12336|YL059_YEAST	167	168	1	13	5	18	10	8	18	0	1
sp|P42297|YXIE_BACSU	sp|P53311|MPC3_YEAST	148	146	2	13	4	17	10	7	17	0	2
sp|P17903|RSBV_BACSU	sp|Q12174|YL123_YEAST	109	109	0	9	4	13	5	8	13	0	0
sp|O07617|PHOE_BACSU	sp|Q04120|TSA2_YEAST	193	196	3	13	11	24	18	6	24	0	3
sp|Q45596|YYDF_BACSU	sp|Q3E813|YL154_YEAST	49	49	0	8	1	9	0	9	9	0	0
sp|P49853|YKJA_BACSU	sp|P35189|TAF14_YEAST	243	244	1	16	12	28	19	9	28	0	1
sp|P13267|DPO3_BACSU	sp|P47136|BUD4_YEAST	1437	1447	10	106	59	165	112	54	166	1	20
sp|O31852|CWLS_BACSU	sp|Q06674|HIM1_YEAST	414	414	0	47	9	56	35	21	56	0	0
sp|O31429|SKFG_BACSU	sp|P25652|YCX7_YEAST	171	171	0	14	2	16	3	13	16	0	0
sp|O32162|SUFB_BACSU	sp|P53101|STR3_YEAST	465	465	0	35	17	52	32	20	52	0	0
sp|P39215|MCPB_BACSU	sp|P46151|MTHR1_YEAST	662	657	5	53	15	68	37	32	69	1	15
sp|O34989|YVRG_BACSU	sp|P46997|JJJ2_YEAST	580	583	3	62	27	89	64	25	89	0	3
sp|O31820|YNEN_BACSU	sp|P38728|ECM34_YEAST	170	170	0	21	2	23	12	11	23	0	0
sp|O32156|YURO_BACSU	sp|P18544|ARGD_YEAST	422	423	1	43	9	52	37	15	52	0	1
sp|P17622|RIBT_BACSU	sp|O13579|YL379_YEAST	124	124	0	12	5	17	7	10	17	0	0
sp|P46327|YXBC_BACSU	sp|P00812|ARGI_YEAST	330	333	3	18	12	30	22	8	30	0	3
sp|P94548|FADR_BACSU	sp|P06781|RHO2_YEAST	194	192	2	19	6	25	15	10	25	0	2
sp|O07592|YHDW_BACSU	sp|P38777|FSH1_YEAST	243	243	0	15	14	29	23	6	29	0	0
sp|P50831|YPVA_BACSU	sp|P32599|FIMB_YEAST	641	642	1	45	29	74	41	33	74	0	1
sp|O34365|YTMB_BACSU	sp|Q9URQ5|HTL1_YEAST	80	78	2	8	4	12	6	6	12	0	2
sp|P54181|YPNP_BACSU	sp|Q03697|YMD8_YEAST	445	442	3	19	13	32	21	12	33	1	13
sp|O34924|YTOP_BACSU	sp|P47175|HMS2_YEAST	357	358	1	19	17	36	21	15	36	0	1
sp|O05268|FENR2_BACSU	sp|P53250|TWF1_YEAST	332	332	0	26	11	37	24	13	37	0	0
sp|P42417|IOLF_BACSU	sp|P32798|COT1_YEAST	438	439	1	18	9	27	17	11	28	1	11
sp|P68731|DEGR_BACSU	sp|P0C5N7|YH73A_YEAST	60	58	2	10	1	11	5	6	11	0	2
sp|O34743|YLBA_BACSU	sp|P47091|YJY8_YEAST	120	120	0	9	4	13	5	8	13	0	0
sp|P39062|ACSA_BACSU	sp|P49089|ASNS1_YEAST	572	572	0	41	27	68	38	30	68	0	0
sp|P54571|MLEN_BACSU	sp|P32623|CRH2_YEAST	468	467	1	19	8	27	22	6	28	1	11
sp|P34957|QOX2_BACSU	sp|Q12117|MRH1_YEAST	321	320	1	25	7	32	23	9	32	0	1
sp|O34596|YOBK_BACSU	sp|Q06162|NKP2_YEAST	152	153	1	9	3	12	4	8	12	0	1
sp|Q01960|FLHF_BACSU	sp|Q04372|TAP42_YEAST	366	366	0	40	10	50	32	18	50	0	0
sp|P39840|GALM_BACSU	sp|P47818|CCC1_YEAST	325	322	3	20	8	28	17	11	28	0	3
sp|O34987|PBUG_BACSU	sp|P49686|NUP42_YEAST	440	430	10	12	8	20	15	3	18	2	30
sp|P80698|TIG_BACSU	sp|P25591|VAC17_YEAST	424	423	1	43	12	55	26	29	55	0	1
sp|P39115|VMLR_BACSU	sp|P40055|UTP7_YEAST	547	554	7	56	24	80	52	28	80	0	7
sp|P45949|ARSR_BACSU	sp|A0A023PXF2|YH071_YEAST	105	106	1	12	4	16	6	10	16	0	1
sp|P37948|GLPT_BACSU	sp|Q06200|ECM7_YEAST	444	448	4	18	17	35	14	21	35	0	4
sp|P55069|CITM_BACSU	sp|P35184|SQT1_YEAST	433	431	2	14	9	23	18	5	23	0	2
sp|O32181|MDTR_BACSU	sp|Q12056|ISU2_YEAST	155	156	1	14	8	22	16	6	22	0	1
sp|P54443|YRKP_BACSU	sp|P40586|YIW2_YEAST	231	236	5	17	17	34	16	18	34	0	5
sp|O32100|YUEC_BACSU	sp|Q12091|DAP1_YEAST	151	152	1	14	0	14	9	5	14	0	1
sp|O32207|YVGK_BACSU	sp|P49017|COQ5_YEAST	308	307	1	26	12	38	24	14	38	0	1
sp|P39820|PROB_BACSU	sp|P40066|GLE2_YEAST	365	365	0	24	14	38	19	19	38	0	0
sp|P96722|YWQJ_BACSU	sp|Q99332|HPH1_YEAST	602	602	0	57	21	78	36	43	79	1	10
sp|P40768|YTKA_BACSU	sp|P40185|MMF1_YEAST	145	145	0	14	1	15	10	5	15	0	0
sp|O06991|MDXG_BACSU	sp|Q05778|POC1_YEAST	278	276	2	10	11	21	17	4	21	0	2
sp|P14192|GLMU_BACSU	sp|Q03063|DIG1_YEAST	456	452	4	35	17	52	28	24	52	0	4
sp|P46917|GGAA_BACSU	sp|Q12396|EMP46_YEAST	446	444	2	43	23	66	48	18	66	0	2
sp|P55343|MRAZ_BACSU	sp|Q08361|AAD15_YEAST	143	143	0	11	7	18	12	6	18	0	0
sp|O05405|YRHO_BACSU	sp|P24867|PCL1_YEAST	275	279	4	24	12	36	14	22	36	0	4
sp|P81102|YODC_BACSU	sp|P53178|ALG13_YEAST	202	202	0	15	4	19	10	9	19	0	0
sp|O31752|CDSA_BACSU	sp|Q06543|GPN3_YEAST	269	272	3	13	6	19	12	7	19	0	3
sp|P42924|RL23_BACSU	sp|O13586|YP092_YEAST	95	101	6	14	9	23	15	8	23	0	6
sp|P31080|LEXA_BACSU	sp|Q12025|EMC10_YEAST	205	205	0	13	11	24	20	4	24	0	0
sp|Q9JMQ2|PPAX_BACSU	sp|Q06144|ORM2_YEAST	216	216	0	16	3	19	7	12	19	0	0
sp|P08838|PT1_BACSU	sp|P47079|TCPQ_YEAST	570	568	2	41	22	63	41	22	63	0	2
sp|P32396|CPFC_BACSU	sp|P43617|YFL5_YEAST	310	309	1	21	12	33	22	11	33	0	1
sp|P68579|SUNT_BACSU	sp|Q02959|HOS3_YEAST	705	697	8	64	24	88	52	36	88	0	8
sp|O32113|SUFA_BACSU	sp|P47106|YJ08_YEAST	120	120	0	7	2	9	2	7	9	0	0
sp|O06987|YVDE_BACSU	sp|P38281|APD1_YEAST	316	316	0	21	21	42	27	15	42	0	0
sp|P94527|G1PDH_BACSU	sp|P53740|YN8S_YEAST	394	393	1	18	21	39	25	14	39	0	1
sp|Q06004|DHSO_BACSU	sp|P00331|ADH2_YEAST	353	348	5	17	15	32	24	8	32	0	5
sp|O31850|YOJN_BACSU	sp|Q08926|UIP4_YEAST	304	304	0	21	11	32	27	5	32	0	0
sp|P45862|YWJB_BACSU	sp|Q03323|SDC1_YEAST	174	175	1	10	6	16	12	4	16	0	1
sp|P80875|G16U_BACSU	sp|Q12335|PST2_YEAST	193	198	5	9	5	14	10	4	14	0	5
sp|P16397|SUBF_BACSU	sp|Q07527|TRM3_YEAST	1433	1436	3	137	21	158	115	42	157	1	13
sp|P39694|COMEA_BACSU	sp|Q06672|TSR2_YEAST	205	205	0	17	4	21	15	6	21	0	0
sp|O06978|YVCP_BACSU	sp|Q04902|SNO4_YEAST	237	237	0	12	16	28	19	9	28	0	0
sp|P54460|PRMA_BACSU	sp|P32585|MED18_YEAST	311	307	4	19	5	24	14	10	24	0	4
sp|P37566|YACD_BACSU	sp|P25368|RRP7_YEAST	297	297	0	31	14	45	35	10	45	0	0
sp|P49851|YKHA_BACSU	sp|Q08172|YO024_YEAST	172	172	0	12	11	23	15	8	23	0	0
sp|Q7WY72|REMA_BACSU	sp|O94742|SEM1_YEAST	89	89	0	3	8	11	9	2	11	0	0
sp|P37544|RSMI_BACSU	sp|P38786|RPP1_YEAST	292	293	1	26	13	39	20	19	39	0	1
sp|O34689|MHQA_BACSU	sp|P28272|PYRD_YEAST	316	314	2	15	19	34	25	9	34	0	2
sp|P05306|PTSBC_BACSU	sp|P40441|HXT12_YEAST	461	457	4	25	10	35	19	16	35	0	4
sp|O31662|MTNA_BACSU	sp|P41903|PTE1_YEAST	353	349	4	20	16	36	21	15	36	0	4
sp|O07607|YHFI_BACSU	sp|Q12163|NBP2_YEAST	244	236	8	14	3	17	12	5	17	0	8
sp|O32054|QUEA_BACSU	sp|Q12230|LSP1_YEAST	342	341	1	22	16	38	21	17	38	0	1
sp|P42245|YCBM_BACSU	sp|Q04689|AIM32_YEAST	311	311	0	21	17	38	23	15	38	0	0
sp|O31999|YOKH_BACSU	sp|P53066|YGZ2_YEAST	185	181	4	10	4	14	8	6	14	0	4
sp|Q45068|ALST_BACSU	sp|P32588|PUB1_YEAST	465	453	12	20	11	31	13	17	30	1	22
sp|Q45462|OPUBC_BACSU	sp|P41817|CUP9_YEAST	306	306	0	32	7	39	22	17	39	0	0
sp|O32229|YVAG_BACSU	sp|Q02721|TO6BL_YEAST	264	264	0	9	14	23	12	11	23	0	0
sp|P71014|BSLA_BACSU	sp|P37298|DHSD_YEAST	181	181	0	12	7	19	13	6	19	0	0
sp|P35166|RSIX_BACSU	sp|Q08096|RCL1_YEAST	368	367	1	36	9	45	29	16	45	0	1
sp|O34798|PDAC_BACSU	sp|Q06493|YLH47_YEAST	467	454	13	57	17	74	47	27	74	0	13
sp|O06989|MDXE_BACSU	sp|Q12093|MTU1_YEAST	417	417	0	45	3	48	22	26	48	0	0
sp|P26900|ASPG1_BACSU	sp|Q12051|GGPPS_YEAST	329	335	6	20	10	30	18	12	30	0	6
sp|P94360|MSMX_BACSU	sp|Q02983|RRN5_YEAST	365	363	2	32	21	53	16	37	53	0	2
sp|P35162|RESC_BACSU	sp|Q03730|YMB8_YEAST	391	393	2	15	15	30	19	10	29	1	12
sp|P39594|THIE_BACSU	sp|P53823|SNO2_YEAST	222	222	0	14	12	26	17	9	26	0	0
sp|P40411|FEUC_BACSU	sp|P40107|GMT1_YEAST	336	337	1	12	12	24	17	7	24	0	1
sp|P42422|YXDK_BACSU	sp|Q06417|TDA5_YEAST	325	326	1	20	16	36	14	22	36	0	1
sp|C0SPB1|YUKJ_BACSU	sp|Q12354|APTH1_YEAST	225	227	2	11	8	19	16	3	19	0	2
sp|Q08432|CBL_BACSU	sp|P53155|YGI2_YEAST	387	381	6	25	15	40	21	19	40	0	6
sp|P39760|KTRC_BACSU	sp|P40014|SPC25_YEAST	221	221	0	16	9	25	3	22	25	0	0
sp|O34785|YJQB_BACSU	sp|Q08187|YO029_YEAST	200	201	1	11	16	27	21	6	27	0	1
sp|O34313|NTPES_BACSU	sp|P33202|UFD4_YEAST	1462	1483	21	115	33	148	79	71	150	2	41
sp|O34788|BDHA_BACSU	sp|P47181|YJ9S_YEAST	346	346	0	26	10	36	24	12	36	0	0
sp|O31716|YKPA_BACSU	sp|P20424|SRP54_YEAST	540	541	1	42	19	61	46	16	62	1	11
sp|O34563|GLNH_BACSU	sp|Q99216|PNO1_YEAST	273	274	1	38	5	43	25	18	43	0	1
sp|P70993|YWHA_BACSU	sp|P32633|MTC7_YEAST	139	139	0	10	10	20	15	5	20	0	0
sp|Q9K2S2|MRPA_BACSU	sp|P53438|SOK2_YEAST	801	785	16	37	22	59	36	22	58	1	26
sp|O34712|YTRA_BACSU	sp|Q3E7Y3|RS22B_YEAST	130	130	0	15	5	20	11	9	20	0	0
sp|P94439|LNRK_BACSU	sp|P36019|YPT53_YEAST	220	220	0	16	9	25	14	11	25	0	0
sp|P94411|YCLH_BACSU	sp|P43544|SNO3_YEAST	226	222	4	19	7	26	17	9	26	0	4
sp|P94538|RLMP_BACSU	sp|P13483|DATI_YEAST	248	248	0	18	8	26	12	14	26	0	0
sp|O31488|YDAN_BACSU	sp|P33891|TIP20_YEAST	703	701	2	64	11	75	55	20	75	0	2
sp|O31689|YKVY_BACSU	sp|P14540|ALF_YEAST	363	359	4	23	14	37	27	10	37	0	4
sp|O05494|YDHC_BACSU	sp|Q12454|OCA6_YEAST	224	224	0	21	13	34	21	13	34	0	0
sp|P37465|SYM_BACSU	sp|Q06677|SWA2_YEAST	664	668	4	56	27	83	64	19	83	0	4
sp|P39808|YVYG_BACSU	sp|P25350|YCP6_YEAST	160	157	3	20	5	25	8	17	25	0	3
sp|O31933|YOPE_BACSU	sp|A0A023PXM2|YH131_YEAST	83	81	2	7	3	10	6	4	10	0	2
sp|P96622|ENDOA_BACSU	sp|P53300|YG45_YEAST	116	117	1	7	7	14	7	7	14	0	1
sp|O31767|YMFI_BACSU	sp|P35127|UBL1_YEAST	242	236	6	10	7	17	10	7	17	0	6
sp|P18156|GLPF_BACSU	sp|Q12359|ATO3_YEAST	274	275	1	11	2	13	5	7	12	1	11
sp|O32437|COMZ_BACSU	sp|Q8TGP5|YD464_YEAST	63	62	1	6	0	6	2	4	6	0	1
sp|P94572|YWOB_BACSU	sp|O13563|RPN13_YEAST	154	156	2	7	10	17	11	6	17	0	2
sp|O31558|YFJA_BACSU	sp|O13536|YH139_YEAST	104	103	1	10	9	19	10	9	19	0	1
sp|O07516|YHAH_BACSU	sp|P40895|YJV5_YEAST	118	119	1	15	4	19	6	13	19	0	1
sp|O05389|YRBE_BACSU	sp|P38893|YH10_YEAST	341	341	0	20	17	37	23	14	37	0	0
sp|P94367|CYDD_BACSU	sp|P33755|NPL4_YEAST	575	580	5	25	37	62	40	22	62	0	5
sp|O31864|YOZE_BACSU	sp|P90471|YB09A_YEAST	74	74	0	5	2	7	2	5	7	0	0
sp|Q04385|YGXA_BACSU	sp|P39926|SSO2_YEAST	294	295	1	17	17	34	20	14	34	0	1
sp|Q04797|DHAS_BACSU	sp|P40004|YEA4_YEAST	346	342	4	23	11	34	22	12	34	0	4
sp|P94479|YNBB_BACSU	sp|P36142|HFL1_YEAST	421	418	3	25	16	41	21	20	41	0	3
sp|Q02886|DINB_BACSU	sp|P38320|YB74_YEAST	172	171	1	11	5	16	10	6	16	0	1
sp|P71025|CZCR_BACSU	sp|P40961|PHB1_YEAST	288	287	1	24	10	34	19	15	34	0	1
sp|O07529|AZR_BACSU	sp|P53054|YGZG_YEAST	174	175	1	12	6	18	13	5	18	0	1
sp|O06492|GATC_BACSU	sp|P50088|SPG1_YEAST	96	95	1	7	4	11	5	6	11	0	1
sp|O34847|ACCA_BACSU	sp|P28789|HEM3_YEAST	325	327	2	29	16	45	30	15	45	0	2
sp|P96625|YDCH_BACSU	sp|P53321|YG5G_YEAST	147	146	1	15	4	19	9	10	19	0	1
sp|P28821|PABC_BACSU	sp|P40471|AYR1_YEAST	293	297	4	21	18	39	27	12	39	0	4
sp|O32174|GCSH_BACSU	sp|A0A023PXH6|YM172_YEAST	127	127	0	7	2	9	3	6	9	0	0
sp|P40761|YUXK_BACSU	sp|P32388|RM49_YEAST	137	137	0	12	9	21	14	7	21	0	0
sp|P94560|YSNF_BACSU	sp|P46670|TBCC_YEAST	273	268	5	25	11	36	25	11	36	0	5
sp|O34930|RAPK_BACSU	sp|Q06063|DUS4_YEAST	371	367	4	39	7	46	25	21	46	0	4
sp|P36839|ARGD_BACSU	sp|P07285|TRPD_YEAST	385	380	5	28	6	34	28	6	34	0	5
sp|O32158|YURQ_BACSU	sp|P40542|YIC5_YEAST	124	124	0	13	7	20	11	9	20	0	0
sp|P60495|PXPB_BACSU	sp|P32584|STE14_YEAST	240	239	1	9	12	21	14	7	21	0	1
sp|O35045|YJMD_BACSU	sp|P47085|MHO1_YEAST	339	338	1	20	14	34	20	14	34	0	1
sp|P17585|AADK_BACSU	sp|Q12241|VAM3_YEAST	284	283	1	20	15	35	22	13	35	0	1
sp|P39804|IPI_BACSU	sp|Q12169|YO015_YEAST	119	119	0	11	4	15	11	4	15	0	0
sp|O31769|YMFK_BACSU	sp|Q12286|SUT2_YEAST	269	268	1	15	25	40	26	14	40	0	1
sp|O31853|YOJK_BACSU	sp|P39567|IMDH1_YEAST	405	403	2	33	11	44	27	17	44	0	2
sp|P42969|LIPC_BACSU	sp|P48235|ECL1_YEAST	213	211	2	13	8	21	14	7	21	0	2
sp|O31546|DUS2_BACSU	sp|P22135|ATP12_YEAST	325	325	0	20	23	43	26	17	43	0	0
sp|P50620|RIR1_BACSU	sp|P40416|ATM1_YEAST	700	690	10	59	28	87	47	40	87	0	10
sp|O31755|SYP_BACSU	sp|P53197|CDH1_YEAST	564	566	2	33	32	65	29	36	65	0	2
sp|P71047|YWGB_BACSU	sp|Q12479|IRC11_YEAST	156	156	0	11	7	18	12	6	18	0	0
sp|O31787|YMAE_BACSU	sp|Q12079|YP027_YEAST	274	277	3	17	8	25	20	5	25	0	3
sp|P46328|YXBD_BACSU	sp|Q06051|YL400_YEAST	159	157	2	11	7	18	5	13	18	0	2
sp|P42306|YXIO_BACSU	sp|P39008|POP2_YEAST	428	433	5	18	11	29	17	12	29	0	5
sp|O34411|HIS9_BACSU	sp|A2P2R3|YM084_YEAST	268	262	6	15	11	26	19	7	26	0	6
sp|P45942|YQCG_BACSU	sp|Q12315|GLE1_YEAST	531	538	7	63	20	83	53	30	83	0	7
sp|O31626|YJCD_BACSU	sp|P39732|GIP4_YEAST	759	760	1	62	45	107	66	42	108	1	11
sp|P21467|RS5_BACSU	sp|Q03954|SPC19_YEAST	166	165	1	13	13	26	17	9	26	0	1
sp|P12874|RS17_BACSU	sp|P53869|MRX7_YEAST	87	86	1	13	7	20	9	11	20	0	1
sp|O34813|SIRC_BACSU	sp|P46973|HIT1_YEAST	162	164	2	16	9	25	20	5	25	0	2
sp|P54495|GLK_BACSU	sp|Q12442|IZH2_YEAST	321	317	4	25	7	32	20	12	32	0	4
sp|P45694|TKT_BACSU	sp|P48813|GNP1_YEAST	667	663	4	39	23	62	36	27	63	1	14
sp|O34814|FTSE_BACSU	sp|P53274|YG36_YEAST	228	230	2	21	11	32	24	8	32	0	2
sp|P46326|YXBB_BACSU	sp|P38145|RISA_YEAST	244	238	6	13	8	21	14	7	21	0	6
sp|P54419|METK_BACSU	sp|P48015|GCST_YEAST	400	400	0	24	24	48	34	14	48	0	0
sp|O34892|YOBS_BACSU	sp|P06100|NOT2_YEAST	191	191	0	11	10	21	10	11	21	0	0
sp|P94591|GLCR_BACSU	sp|P23638|PSA3_YEAST	258	258	0	17	14	31	19	12	31	0	0
sp|P36430|SYL_BACSU	sp|P39944|UBP5_YEAST	804	805	1	58	30	88	46	42	88	0	1
sp|O34308|YTKK_BACSU	sp|P38930|CSK2C_YEAST	255	258	3	17	16	33	19	14	33	0	3
sp|P55340|ECSB_BACSU	sp|P40218|LDO45_YEAST	408	412	4	22	22	44	32	12	44	0	4
sp|P45869|YWKB_BACSU	sp|Q12010|YPQ1_YEAST	319	308	11	14	4	18	9	8	17	1	21
sp|O32046|YRVC_BACSU	sp|P53897|IGO1_YEAST	165	168	3	11	9	20	15	5	20	0	3
sp|P54617|PSPA_BACSU	sp|P32772|UGX2_YEAST	227	223	4	24	10	34	20	14	34	0	4
sp|O34475|YFKO_BACSU	sp|P47055|LOH1_YEAST	221	219	2	17	12	29	17	12	29	0	2
sp|O32214|CYSJ_BACSU	sp|Q08299|ENB1_YEAST	605	606	1	27	28	55	29	26	55	0	1
sp|P54545|DPO41_BACSU	sp|P32875|LIPA_YEAST	414	414	0	43	26	69	36	33	69	0	0
sp|O34790|PCRB_BACSU	sp|Q03390|VPS60_YEAST	228	229	1	15	5	20	15	5	20	0	1
sp|P16497|KINA_BACSU	sp|P42951|LSB6_YEAST	606	607	1	47	20	67	38	29	67	0	1
sp|P37493|YYBK_BACSU	sp|Q03835|GLRX3_YEAST	251	250	1	13	6	19	13	6	19	0	1
sp|P02968|FLA_BACSU	sp|Q06522|YP147_YEAST	304	304	0	15	14	29	20	9	29	0	0
sp|O05410|YRPE_BACSU	sp|P39721|AIM2_YEAST	251	246	5	20	6	26	20	6	26	0	5
sp|P49852|HMP_BACSU	sp|P02381|RMAR_YEAST	399	398	1	31	12	43	38	5	43	0	1
sp|O31714|K1PF_BACSU	sp|P41318|LST8_YEAST	303	303	0	20	8	28	10	18	28	0	0
sp|P71009|ALBC_BACSU	sp|P38842|YHU0_YEAST	239	239	0	11	12	23	18	5	23	0	0
sp|P70995|YWHC_BACSU	sp|P53747|YN8Z_YEAST	219	219	0	8	9	17	9	9	18	1	10
sp|P23454|YLXF_BACSU	sp|P69771|DID2_YEAST	204	204	0	30	3	33	22	11	33	0	0
sp|P36945|RBSK_BACSU	sp|P40509|COPE_YEAST	293	296	3	13	9	22	20	2	22	0	3
